Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ніколюк,Леонтій,Романович,Чоловік,1948-04-22,Піаніст,селище Середина-Буда,"узвіз Степана Олійника узвіз, буд. 96, Липовець, 46096",093 544 19 58,dankevychvalerii@example.org
Павличенко,Пріска,Федорівна,Жінка,1975-08-03,Драматург,місто Білгород-Дністровський,"площа Рачкова, буд. 50 кв. 07, Васильків, 41361",062 596 58 76,sirkoboleslav@example.net
Щириця,Анастасія,Олегівна,Жінка,1996-01-21,Петрограф,село Тлумач,"проспект Вапняний 1-й, буд. 93, Київ, 15542",+380 89 276-56-52,nadiiavitruk@example.com
Скорик,Лариса,Георгіївна,Жінка,1997-04-15,Хімік,село Покров,"проспект Китобійна, буд. 6, Верхньодніпровськ, 02320",906 92 56,anastasiia88@example.org
Петренко,Охрім,Васильович,Чоловік,1953-10-15,Акушер,селище Світлодарськ,"проспект Грузовий, буд. 76 кв. 8, Сновськ, 01757",055 471-55-37,bohodarkhudobiak@example.com
Козак,Володимир,Федорович,Чоловік,1965-11-12,Шериф,село Гадяч,"шосе Князівська, буд. 041 кв. 30, Соснівка, 28246",+380 (73) 804-16-49,ldevdiuk@example.com
Рябець,Климент,Ігорович,Чоловік,1978-05-23,Інженер,село Таврійськ,"проспект Одеська, буд. 74, Хотин, 17087",+380 47 357-41-24,atiahnybok@example.org
Сімашкевич,Лілія,Богданівна,Жінка,1994-06-12,Археолог,селище Щолкіне,"площа Чорноморський 7-й, буд. 14, Нововолинськ, 09514",+380 55 840-05-71,avhustynivasiuk@example.org
Вдовенко,Марія,Романівна,Жінка,1958-04-01,Мовознавець,селище Корець,"проспект Скляна, буд. 08 кв. 26, Скадовськ, 78568",+380 (84) 555-78-55,achornovil@example.org
Гречаник,Амвросій,Васильович,Чоловік,1988-01-19,Мовознавець,хутір Івано-Франківськ,"парк Леонтовича, буд. 2 кв. 1, Жидачів, 45578",+380 85 420-56-15,anzhela56@example.net
Лавренко,Опанас,Георгійович,Чоловік,1945-05-13,Сантехнік,селище Волноваха,"сквер Наявний 4-й, буд. 5, Костянтинівка, 11462",+380 71 079-04-58,viktoriiabezborodko@example.com
Щорс,Віталій,Миколайович,Чоловік,1944-01-07,Слідчий,село Борщів,"сквер Василя Кандинського 3-й, буд. 92 кв. 998, Вознесенівка, 31245",+380 82 171 76 21,fomenkoillia@example.net
Вовк,Ірена,Павлівна,Жінка,1967-05-05,Мірошник,хутір Яворів,"шосе Чорноморський 10-й, буд. 412, Ржищів, 79963",+380 60 169 61 81,petroatamaniuk@example.org
Засуха,Лілія,Тимофіївна,Жінка,1950-12-27,Фрілансер,хутір Заводське,"площа Долинська, буд. 87 кв. 6, Дубно, 33644",004 079-78-76,dziubalukian@example.net
Андрощук,Орхип,Тимофійович,Чоловік,1966-08-17,Стропальник,селище Ніжин,"вулиця Могилівська, буд. 1 кв. 049, Бахчисарай, 58094",322 73 52,arsenychherman@example.org
Пилипенко,Данна,Миколаївна,Жінка,1978-04-06,Парфюмер,місто Родинське,"проспект Тетяни Тесс, буд. 501, Костопіль, 55279",+380 42 188-98-25,derehusrostyslav@example.com
Пушкар,Ліза,Федорівна,Жінка,1951-05-25,Менеджер,селище Рожище,"набережна В'ячеслава Липинського, буд. 627, Світлодарськ, 37397",+380 (45) 725-14-97,olha67@example.com
Вобла,Оксенія,Георгіївна,Жінка,1998-11-25,Стиліст,хутір Білопілля,"шосе Овідіопольська, буд. 5 кв. 13, Білозерське, 92181",068-47-10,tsiupabohdan@example.net
Рубець,Леонтій,Ігорович,Чоловік,1965-11-24,Епідеміолог,хутір Лисичанськ,"парк Іподромний, буд. 1 кв. 66, Хмільник, 36600",078 213-43-00,alekseienkoanzhela@example.net
Василенко,Богодар,Юрійович,Чоловік,2007-03-01,Педагог,хутір Сквира,"узвіз Амбулаторна, буд. 0, Корюківка, 58270",068 131 87 70,opanasshvedchenko@example.org
Забарний,Геннадій,Олегович,Чоловік,1964-06-18,Музикознавець,село Покровськ,"набережна Крайня, буд. 19, Вашківці, 12078",+380 39 147-17-78,ilchenkomakar@example.net
Башполченко,Леонтій,Іванович,Чоловік,1985-11-10,Електромонтер,хутір Бахчисарай,"площа Лінія 33-тя, буд. 848, Пустомити, 60802",001 226 00 63,iukhymenkoorkhyp@example.net
Рябошапка,Іван,Олегович,Чоловік,1968-08-14,Фізик,селище Керч,"парк Залізничний 3-й, буд. 20 кв. 2, Новоселиця, 12937",+380 (10) 588-83-62,bohuslavkylymnyk@example.com
Юрчук,Василь,Андрійович,Чоловік,1974-06-26,Ґрунтознавець,селище Дрогобич,"площа Басейна, буд. 30, Тячів, 77946",+380 (76) 826-36-32,viteredyta@example.net
Копитко,Миколай,Богданович,Чоловік,1957-04-19,Астрофізик,село Верхівцеве,"шосе 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 6, Дубляни, 13425",+380 65 195-53-51,teodorartemenko@example.net
Демʼянюк,Богданна,Богданівна,Жінка,1989-08-18,Професор,село Володимир-Волинський,"сквер Орликова, буд. 47 кв. 5, Яворів, 15413",038-01-61,rmishchenko@example.com
Цибуленко,Вікторія,Миколаївна,Жінка,1967-05-26,Машиніст,хутір Сокаль,"узвіз Городня, буд. 838 кв. 95, Мирноград, 08478",345-21-83,korsunvioletta@example.org
Закусило,Лариса,Олегівна,Жінка,1956-09-14,Сантехнік,селище Рудки,"узвіз Нескучна, буд. 8, Христинівка, 78975",+380 23 118 05 57,dutkaonysym@example.org
Дахно,Єлисавета,Василівна,Жінка,1989-01-09,Фольклорист,місто Борщів,"парк Заводська, буд. 1 кв. 10, Білозерське, 69433",564 26 30,dubasdan@example.net
Василевич,Аліна,Олегівна,Жінка,1950-03-11,Фольклорист,село Старий Самбір,"проспект Березова, буд. 609, Заводське, 55185",388 01 00,symonhres@example.org
Дзюба,Панас,Петрович,Чоловік,1998-08-24,Скульптор,місто Жовті Води,"парк Обільний 2-й, буд. 92, Черкаси, 58956",+380 (17) 347-29-99,klyment80@example.org
Гузь,Стефан,Богданович,Чоловік,1948-10-08,Локсмайстер,селище Кагарлик,"парк Привозна, буд. 95, Сарни, 11503",003 475-19-29,irena83@example.com
Токар,Богуслава,Олегівна,Жінка,1981-05-28,Круп'є,місто Болград,"узвіз Вокзальний, буд. 383 кв. 1, Ізмаїл, 12104",093 724-10-25,gvasylevych@example.com
Ільченко,Федір,Олександрович,Чоловік,1975-10-22,Мінералог,селище Бурштин,"площа Добровольців, буд. 663 кв. 017, Кам'янське, 12972",782 48 20,tteslenko@example.net
Влох,Богдан,Олегович,Чоловік,1957-10-28,Реабілітолог,місто Ізюм,"шосе Дігтярна, буд. 3, Андрушівка, 87324",028 062 99 75,alinabevzenko@example.com
Чубай,Варвара,Федорівна,Жінка,1947-04-01,Сценарист,село Жданівка,"вулиця Йозефа Прибіка, буд. 658, Гадяч, 15891",+380 03 347-45-69,stepan86@example.com
Мамчур,Хома,Сергійович,Чоловік,1997-06-30,Диригент,село Жовті Води,"проспект Східний, буд. 9 кв. 97, Бахчисарай, 66285",096 802 05 46,izaruba@example.net
Гунько,Любов,Миколаївна,Жінка,1965-11-07,Актор,селище Погребище,"узвіз Юннатів, буд. 86, Пологи, 83359",028 943 25 68,zlatoslava92@example.net
Стець,Олександр,Георгійович,Чоловік,1959-06-13,Ветеринар,селище Бережани,"парк Бахмутська, буд. 6, Миронівка, 67885",+380 93 662-06-43,nshamrai@example.net
Шелест,Артем,Богданович,Чоловік,1942-01-18,Мірошник,хутір Красногорівка,"проспект Туристська, буд. 3 кв. 6, Лозова, 81236",061 501-36-74,hbebeshko@example.net
Ватаманюк,Єлисей,Андрійович,Чоловік,2004-04-23,Антрополог,село Ясинувата,"шосе Клинова, буд. 4 кв. 28, Полтава, 68997",023 552 54 15,hermanvashchuk@example.net
Стус,Прохір,Володимирович,Чоловік,2007-11-26,Дизайнер,хутір Вуглегірськ,"шосе 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 7, Сіверськодонецьк, 75050",+380 (04) 312-81-67,kostiantyn23@example.net
Гавриленко,Орина,Ігорівна,Жінка,1958-07-30,Реабілітолог,хутір Миколаїв,"проспект Проектований 4-й, буд. 043, Коломия, 69427",058 463 23 06,anzhelazabara@example.org
Тимченко,Леонтій,Іванович,Чоловік,1997-02-17,Промисловець,місто Жашків,"набережна Томатна, буд. 533 кв. 1, Світловодськ, 43678",+380 64 673 12 59,zavdieienko@example.net
Фартушняк,Лариса,Петрівна,Жінка,1967-11-11,Фольклорист,селище Добромиль,"набережна 11-та ст. Великого Фонтану пляж, буд. 714 кв. 40, Кам'янка-Бузька, 57421",+380 (93) 250-33-50,nosachenkoviktor@example.org
Сіробаба,Тимофій,Григорович,Чоловік,1989-01-02,Продюсер,місто Зіньків,"площа Канатна, буд. 37 кв. 782, Золоте, 55054",+380 70 475-74-48,osatsiuk@example.com
Колесниченко,Валентина,Петрівна,Жінка,1979-06-17,Графік,селище Дубляни,"вулиця Штильова, буд. 3 кв. 066, Васильків, 66160",+380 15 643-59-30,bandroshchuk@example.net
Чередник,Розалія,Юріївна,Жінка,1988-12-24,Продюсер,село Луганськ,"проспект Липнева, буд. 723, Сквира, 25830",008 646-84-39,bohuslavmamchur@example.com
Кальченко,Софія,Сергіївна,Жінка,1999-04-11,Інженер,селище Новоазовськ,"проспект Незамаївська, буд. 5, Ямпіль, 87311",037 769 61 51,orkhyp12@example.org
Хомик,Ада,Георгіївна,Жінка,1941-05-30,Біолог,хутір Балта,"провулок Десятого квітня, буд. 230, Нетішин, 88068",+380 08 539 61 37,venhrynovychteodor@example.org
Дубенко,Володимир,Тимофійович,Чоловік,1950-02-22,Льотчик,селище Березівка,"площа Наявний 3-й, буд. 1 кв. 178, Авдіївка, 25095",466-59-10,parmen12@example.org
Демʼянюк,Назар,Дмитрович,Чоловік,1988-01-29,Зоолог,село Жашків,"узвіз Чайкова, буд. 768, Іршава, 73221",344-90-22,teodorderhach@example.org
Рябошапка,Анжела,Петрівна,Жінка,1984-08-23,Ботанік,селище Перечин,"сквер Кам’янецький, буд. 88, Волочиськ, 34213",+380 94 138 12 70,zinkevychvioletta@example.net
Валенко,Камілла,Петрівна,Жінка,1974-10-31,Секретар,село Семенівка,"узвіз Максима Чайки, буд. 842, Лубни, 05841",+380 05 568-47-87,semenbaran@example.org
Оліфіренко,Федір,Олегович,Чоловік,1967-11-26,Музичний редактор,село Мирноград,"проспект Велика Арнаутська, буд. 4, Остер, 96008",076 989 30 81,fedir08@example.org
Щириця,Тереза,Григорівна,Жінка,1992-11-20,Кухар,селище Антрацит,"вулиця Богдана Хмельницького, буд. 18, Кипуче, 55907",814 64 87,parmenpustovit@example.net
Туркало,Святослав,Дмитрович,Чоловік,1980-07-29,Паралегал,селище Моршин,"сквер Шахтинський, буд. 8, Шпола, 54330",017 157-42-84,xholyk@example.net
Гайдай,Оксенія,Ігорівна,Жінка,1991-03-04,Драматург,селище Южноукраїнськ,"сквер Соляний 2-й, буд. 4, Хотин, 39525",072 397-31-30,nataliiapelekh@example.net
Александренко,Ярослава,Петрівна,Жінка,1971-01-07,Модельєр,хутір Мукачево,"сквер Балтиморська, буд. 31, Гребінка, 48421",+380 58 866-45-33,olesprymachenko@example.com
Токар,Олег,Володимирович,Чоловік,2007-09-25,Ді-джей,селище Верхівцеве,"вулиця Каштанова, буд. 97, Сніжне, 07248",+380 52 301 22 26,iarynasimashkevych@example.com
Бабійчук,Анастасія,Павлівна,Жінка,1955-11-04,Астрофізик,хутір Сіверськодонецьк,"проспект Владислава Домбровського, буд. 551 кв. 510, Хорол, 34451",037 730-12-05,hordii04@example.net
Дрозд,Макар,Дмитрович,Чоловік,2003-09-28,Продюсер,хутір Запоріжжя,"площа Заводська 1-ша, буд. 44, Родинське, 07496",639 60 29,illia27@example.net
Проценко,Любов,Олегівна,Жінка,1943-03-25,Флорист,місто Пустомити,"провулок Софіївська, буд. 547 кв. 666, Підгайці, 06758",+380 (92) 051-17-22,stefan83@example.net
Цюпа,Ольга,Іванівна,Жінка,1953-07-30,Соціолог,місто Миколаївка,"набережна Шахтинський, буд. 411 кв. 743, Болград, 31064",+380 (72) 162-00-51,lemeshkoandrii@example.org
Скирда,Михайлина,Ігорівна,Жінка,1981-03-03,Клоун,село Сіверськодонецьк,"шосе Бориса Дерев'янка, буд. 6 кв. 06, Помічна, 77361",073 671 08 03,haidaiveniiamyn@example.net
Примаченко,Пантелеймон,Романович,Чоловік,1981-04-20,Медик,хутір Бунге,"площа Пісочна, буд. 4, Новояворівськ, 09729",+380 01 442-43-04,iefymenkoavhustyn@example.com
Чорновіл,Демид,Георгійович,Чоловік,1970-11-12,Історик,село Радехів,"вулиця Аеропортівський 6-й, буд. 867 кв. 65, Ковель, 20708",271 94 27,veniiamyn78@example.net
Баран,Геннадій,Тимофійович,Чоловік,1950-05-06,Круп'є,місто Перечин,"площа Андросовський, буд. 15 кв. 738, Полонне, 17063",+380 89 829 38 04,udovenkotrokhym@example.com
Стус,Лілія,Ігорівна,Жінка,1941-02-21,Водій,місто Прип'ять,"вулиця Котляревського, буд. 4, Хрустальний, 66366",+380 (37) 985-58-49,vfomenko@example.com
Дерегус,Тимофій,Іванович,Чоловік,1998-11-10,Дерун,селище Світловодськ,"площа Ф. Пішеніна, буд. 2 кв. 73, Звенигородка, 26454",218 19 31,solomon42@example.net
Жарко,Клавдія,Ігорівна,Жінка,1972-09-29,М'ясник,селище Хорол,"проспект Локомотивний 2-й, буд. 58 кв. 69, Красногорівка, 91236",933 06 56,ivanenkopriska@example.org
Тригуб,Орхип,Андрійович,Чоловік,1956-12-19,Намотувальник,село Хрестівка,"провулок Мала, буд. 452 кв. 9, Кременець, 80383",232 53 61,rostyslavtsybulenko@example.com
Кальченко,Ада,Богданівна,Жінка,2008-04-25,Літературознавець,місто Дніпрорудне,"проспект Івана Франка, буд. 81 кв. 37, Горлівка, 29270",+380 (45) 231-13-43,zorianmalyk@example.net
Чалий,Назар,Тимофійович,Чоловік,1950-10-13,Ді-джей,місто Надвірна,"провулок Андреєвського, буд. 42, Барвінкове, 72852",+380 99 271-13-60,gshylo@example.net
Бандера,Устим,Максимович,Чоловік,2004-04-09,Палеонтолог,хутір Прип'ять,"парк Ольги Благовидової, буд. 170 кв. 141, Снігурівка, 89054",070 697-11-84,sviatoslavazabara@example.net
Гайворонська,Світлана,Федорівна,Жінка,1957-05-29,Дипломат,місто Семенівка,"проспект Соборна, буд. 55 кв. 9, Тернопіль, 37705",+380 34 011-37-97,opanasskyba@example.com
Москаль,Августин,Максимович,Чоловік,1960-11-18,Футболіст,селище Попасна,"парк Маріупольська, буд. 835, Яремче, 61528",+380 (51) 722-31-31,valentyna04@example.org
Їжакевич,Олесь,Олегович,Чоловік,1964-02-19,Науковець,село Мелітополь,"набережна Агрономічний, буд. 82, Городня, 84552",085 730-60-69,lukianshutko@example.net
Левченко,Аліна,Сергіївна,Жінка,1955-03-22,Актор,село Шаргород,"вулиця Амундсена, 2-й, буд. 61 кв. 02, Оріхів, 43426",945 37 49,tereza29@example.org
Дробʼязко,Тереза,Володимирівна,Жінка,1941-11-09,Пілот,місто Балта,"парк Красива, буд. 61 кв. 75, Щастя, 20311",+380 73 649-03-40,dmytrokhrystenko@example.com
Гупало,Орина,Дмитрівна,Жінка,1943-07-05,Піаніст,село Тисмениця,"провулок 4-та Лінія Марії Демченко, буд. 5 кв. 8, Лохвиця, 05877",756-53-37,vskopenko@example.com
Карась,Борис,Андрійович,Чоловік,1988-02-01,Зоолог,село Великі Мости,"вулиця Осіння, буд. 180, Шепетівка, 62188",062 40 93,volodymyra24@example.com
Гайдамака,Станіслав,Володимирович,Чоловік,1986-01-31,Гірничий інженер,селище Дрогобич,"проспект Берегова, буд. 5, Старокостянтинів, 36039",+380 (54) 485-00-32,nestor06@example.org
Базавлученко,Валентин,Максимович,Чоловік,1983-11-29,Бібліограф,селище Бердянськ,"площа Радіальний, буд. 4, Фастів, 76414",+380 42 454 95 04,hordiibabych@example.net
Чаленко,Еріка,Іванівна,Жінка,1985-03-28,Євнух,село Ровеньки,"площа Газовий, буд. 26 кв. 5, Луцьк, 92444",+380 78 514 47 11,ishcherban@example.com
Колодуб,Григорій,Григорович,Чоловік,1971-08-20,Астрофізик,хутір Рожище,"провулок Каштанова, буд. 151, Бобринець, 01331",223-12-70,varvara30@example.org
Петлюра,Геннадій,Георгійович,Чоловік,2008-06-05,Гицель,селище Гребінка,"парк Дур'янівський, буд. 551, Волноваха, 38196",639 18 78,bezditkodan@example.org
Оніщук,Валентина,Тимофіївна,Жінка,2003-11-12,Льотчик,село Дружківка,"площа Міцкевича, буд. 6, Іловайськ, 63797",+380 65 274-55-86,amvrosiiovsiienko@example.net
Іванченко,Ганна,Максимівна,Жінка,1972-09-03,Мінералог,хутір Южноукраїнськ,"сквер Чайкова, буд. 6 кв. 243, Кремінна, 11469",+380 21 727 68 11,huzenkozynovii@example.com
Христич,Давид,Володимирович,Чоловік,1976-04-23,Ріелтор,селище Сарни,"проспект М’ясоєдовська, буд. 567, Васильків, 98364",666 10 84,fiashchenko@example.net
Яковенко,Аліна,Василівна,Жінка,1941-07-11,Архітектор,хутір Білгород-Дністровський,"провулок Михайла Омеляновича-Павленка, буд. 1, Покров, 29787",005 529 30 34,babiivolodymyr@example.com
Цюпа,Климент,Олександрович,Чоловік,1955-03-02,Мірошник,хутір Ланівці,"площа Хутірська, буд. 8 кв. 3, Жовті Води, 97529",+380 90 773-01-91,hryhoriitelizhenko@example.net
Базилевич,Клавдія,Іванівна,Жінка,1973-05-25,Євнух,селище Алмазна,"вулиця Офіцерська, буд. 053, Генічеськ, 69129",+380 78 327 36 09,tvashchenko@example.com
Гайденко,Олесь,Георгійович,Чоловік,1960-04-03,Музикознавець,хутір Шостка,"проспект Сирітський 2-й, буд. 8, Синельникове, 91444",832-39-94,pkozachenko@example.net
Василечко,Леонтій,Юрійович,Чоловік,1940-01-03,Кінорежисер,селище Нововолинськ,"провулок 21-й км Старокиївської дороги, буд. 22, Баштанка, 62559",077 923-12-88,nestorshcherban@example.com
Скирда,Герман,Павлович,Чоловік,1939-11-05,Доцент,хутір Барвінкове,"набережна Стовпова, буд. 57, Кам'янка-Бузька, 97593",295 01 14,mykhailiukmykyta@example.com
Корпанюк,Прохір,Володимирович,Чоловік,1974-01-28,Патологоанатом,місто Прилуки,"площа Лінія 33-тя, буд. 7 кв. 832, Дніпро, 09630",094 343-97-83,korolenkoavhustyn@example.org
Негода,Августин,Петрович,Чоловік,1938-11-19,Етнограф,місто Збараж,"шосе Трояндова, буд. 111 кв. 76, Хмільник, 43462",+380 38 459-07-50,sychleopold@example.org
Андрієнко,Розалія,Ігорівна,Жінка,2004-04-10,Науковець,селище Заводське,"вулиця Топольського, буд. 139 кв. 798, Мостиська, 39005",+380 09 299 95 30,andrusenkopylyp@example.com
Вертипорох,Єва,Ігорівна,Жінка,1989-08-07,Електромонтажник,хутір Заводське,"проспект Школярський, буд. 6 кв. 43, Почаїв, 66977",059 845-81-14,aleksiichukiustym@example.org
Арсенич,Марʼяна,Павлівна,Жінка,1992-05-15,Піаніст,місто Сквира,"провулок Локомотивний 4-й, буд. 2, Яготин, 61659",055 991 53 93,onysymandrusenko@example.org
Їжак,Лариса,Романівна,Жінка,1959-02-10,Ріелтор,селище Житомир,"узвіз 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 5 кв. 2, Шаргород, 90740",+380 (83) 984-26-08,milena12@example.com
Терещенко,Мартин,Миколайович,Чоловік,1943-03-30,Мікробіолог,селище Харцизьк,"площа Софіївська, буд. 85 кв. 065, Надвірна, 44040",251-18-25,snizhanariabchenko@example.net
Затовканюк,Юхим,Миколайович,Чоловік,1964-01-22,Стоматолог,село Берестечко,"вулиця Друга, буд. 82, Севастополь, 20140",+380 28 593 60 79,zlatoslavatelizhenko@example.org
Яремків,Єва,Сергіївна,Жінка,1949-04-05,Візажист,хутір Бібрка,"парк Райдужна, буд. 110, Бурштин, 42205",+380 27 747 36 15,haievskyidanna@example.org
Шаповал,Іван,Григорович,Чоловік,2005-06-11,Архітектор,селище Монастириська,"провулок Лазурського, буд. 2, Мар'їнка, 42494",066 304-75-15,leontii07@example.org
Артимович,Алла,Олександрівна,Жінка,1947-08-23,Програміст,хутір Вугледар,"сквер Кафедральна, буд. 428, Вашківці, 61124",+380 21 865-60-76,volodymyrazhurba@example.org
Гавришкевич,Микита,Юрійович,Чоловік,1966-08-15,Різноробочий,хутір Луцьк,"узвіз Пересипський узвіз, буд. 5, Авдіївка, 79164",927 45 11,shvachkoiukhym@example.com
Височан,Сніжана,Андріївна,Жінка,1960-10-08,Публіцист,село Васильків,"узвіз 411-ї батареї, буд. 779 кв. 155, Нове Давидково, 40892",024 520 80 79,irena90@example.org
Дейсун,Анжела,Андріївна,Жінка,1979-09-23,Льотчик,селище Корець,"шосе Пантелеймонівська, буд. 638 кв. 740, Бердичів, 28382",059 559 70 46,bohuslav05@example.net
Гузенко,Єва,Георгіївна,Жінка,1992-12-09,Електромонтер,хутір Новгород-Сіверський,"шосе Сирітський, буд. 30 кв. 136, Бобринець, 31608",+380 79 783-65-83,volodymyr71@example.net
Штепа,Йосип,Тимофійович,Чоловік,1975-07-10,Пілот,місто Тиврів,"парк Шилова, буд. 798, Бунге, 29047",+380 12 962 30 00,teodor47@example.net
Оберемко,Тетяна,Миколаївна,Жінка,1941-11-15,Музикант,місто Київ,"парк Парашутний, буд. 42, Немирів, 42045",+380 04 811-83-04,demianbaran@example.net
Перепелиця,Миколай,Володимирович,Чоловік,2003-06-06,Пілот,хутір Щолкіне,"площа Бернардацці, буд. 475, Амвросіївка, 30593",127 45 74,lkolisnychenko@example.org
Яремків,Альберт,Миколайович,Чоловік,1968-12-03,Електромонтер,місто Знам'янка,"провулок Житомирський 4-й, буд. 13 кв. 211, Приморськ, 82296",+380 50 875-61-93,bohdannalavrenko@example.net
Цісик,Святослав,Ігорович,Чоловік,2006-09-07,Журналіст,село Звенигородка,"набережна Кільцева, буд. 9, Хутір-Михайлівський, 47577",614-41-67,zynovii96@example.org
Щорс,Роксолана,Максимівна,Жінка,1959-04-30,Соціолог,селище Вуглегірськ,"площа Хаджибейська дорога, буд. 948 кв. 2, Рожище, 42743",+380 39 456-53-91,orynaderevianko@example.com
Верхола,Яків,Романович,Чоловік,1987-01-25,Педагог,місто Гайворон,"вулиця Приморська, буд. 807 кв. 0, Кролевець, 35944",028 954 98 10,mazepamyroslav@example.com
Іванченко,Олександр,Васильович,Чоловік,1987-03-12,Шериф,село Вижниця,"площа Дмитріївська, буд. 59, Благовіщенське, 94465",019-71-30,opanasenkotaras@example.com
Чайка,Ірина,Василівна,Жінка,1970-05-09,Хімік,хутір Фастів,"проспект Дмитра Іванова, буд. 933 кв. 64, Новий Розділ, 47541",736 28 22,ustym34@example.org
Петлюра,Григорій,Дмитрович,Чоловік,1980-12-03,Фізик,місто Шаргород,"проспект Наявний 6-й, буд. 979 кв. 718, Підгайці, 73781",+380 80 518 46 71,hanna58@example.org
Ажажа,Августин,Миколайович,Чоловік,1991-05-23,Журналіст,село Українка,"сквер Пересипська 5-та, буд. 666, Київ, 65455",016 765-17-88,hsavenko@example.net
Чубай,Болеслав,Олегович,Чоловік,1957-12-25,Кінорежисер,хутір Чортків,"площа Танфільєва, буд. 86 кв. 4, Немирів, 49765",019 689 55 32,stefan03@example.org
Давимука,Сніжана,Володимирівна,Жінка,1988-02-03,Електрослюсар,місто Сорокине,"набережна Горбиста, буд. 7 кв. 194, Перещепине, 18320",051 321-94-48,ihorartiushenko@example.com
Єрченко,Борис,Дмитрович,Чоловік,1987-10-04,Астроном,селище Могилів-Подільський,"площа Тупиковий 1-й, буд. 86 кв. 76, Сокиряни, 05490",160-93-89,azakusylo@example.org
Гайдабура,Трохим,Іванович,Чоловік,1964-08-24,Державний службовець,хутір Торецьк,"узвіз Юзефа Крашевського, буд. 8, Тернопіль, 50858",063 088-68-40,qtsymbaliuk@example.com
Наливайко,Богодар,Тимофійович,Чоловік,1954-05-28,Кіноактор,місто Краматорськ,"сквер Преображенська, буд. 11, Мостиська, 99912",+380 70 934-36-98,ymasokha@example.org
Сірко,Охрім,Володимирович,Чоловік,1971-09-03,Петрограф,місто Буськ,"провулок Військовий узвіз, буд. 2, Сніжне, 28287",406-73-92,fedir28@example.net
Прокопович,Златослава,Ігорівна,Жінка,1999-04-19,Економіст,село Ромни,"вулиця Вокзальна, буд. 62, Перещепине, 73225",+380 46 883-11-62,mykhailychenkoleonid@example.org
Павличенко,Лілія,Сергіївна,Жінка,1943-08-19,Водій,село Святогірськ,"шосе Місячний, буд. 0 кв. 1, Тараща, 15566",055 354 91 31,svitlana08@example.org
Іващенко,Антон,Дмитрович,Чоловік,1942-05-06,Мінералог,село Люботин,"проспект Василя Кандинського 3-й, буд. 82, Чернігів, 92345",+380 (94) 912-69-99,aatamaniuk@example.com
Вдовенко,Марта,Сергіївна,Жінка,1970-12-30,Дизайнер,хутір Гірник,"проспект Шота Руставелі, буд. 39 кв. 322, Козятин, 51822",408 01 85,hhaida@example.org
Ейбоженко,Єфрем,Григорович,Чоловік,1974-08-21,Електрослюсар,селище Великі Мости,"провулок Локомотивний 4-й, буд. 22 кв. 422, Баранівка, 20343",059 827 38 98,vladyslavriaboshapka@example.com
Кальченко,Тереза,Петрівна,Жінка,1970-04-28,Гінеколог,селище Богуслав,"проспект Сірожупанників, буд. 9 кв. 78, Кремінна, 07050",851-57-93,pbabychenko@example.org
Штокало,Наталія,Павлівна,Жінка,1955-12-09,Мистецтвознавець,селище Вінниця,"набережна Преображенська, буд. 717 кв. 95, Здолбунів, 53466",009 822-94-84,anosachenko@example.com
Абраменко,Алевтин,Федорович,Чоловік,1955-12-11,Паблік рилейшнз,місто Євпаторія,"набережна Ігоря Іванова, буд. 98 кв. 25, Корюківка, 25248",091-24-75,stefanzatovkaniuk@example.org
Непорожній,Руслан,Федорович,Чоловік,2004-10-21,Бібліограф,хутір Погребище,"провулок Лавкова, буд. 0, Маріуполь, 86668",026-55-52,olenaudovychenko@example.com
Гаврилів,Яків,Богданович,Чоловік,1959-01-15,Дантист,село Павлоград,"набережна Болградська, буд. 41 кв. 57, Вараш, 16984",+380 40 018 72 53,sbabiuk@example.net
Швачко,Хома,Юрійович,Чоловік,2001-09-29,Антрополог,селище Кам'янка-Дніпровська,"набережна Валерія Лобановського, буд. 471 кв. 154, Горлівка, 25187",014 24 45,mmakarenko@example.net
Аверченко,Спас,Юрійович,Чоловік,1968-03-06,Кухар,селище Монастирище,"узвіз Андрія Гулого-Гуленка, буд. 0, Сніжне, 28077",865-53-79,bevzenkoalevtyn@example.net
Голик,Олесь,Олегович,Чоловік,1983-01-28,Мікробіолог,хутір Пологи,"проспект Задніпровського, буд. 357, Чернігів, 31427",+380 14 290-85-66,ihnatzarudna@example.org
Швайка,Лариса,Олександрівна,Жінка,1991-09-08,Економіст,місто Хмельницький,"набережна Чорноморська, буд. 62 кв. 9, Хотин, 32832",870 62 72,rozaliia71@example.org
Захаренко,Аарон,Романович,Чоловік,1939-12-27,Стропальник,місто Авдіївка,"проспект Лінія 52-га, буд. 49, Біла Церква, 49062",379 08 59,stepanbazylevych@example.com
Зарудний,Владислав,Сергійович,Чоловік,1965-06-09,Скульптор,місто Брянка,"площа Людмили Гінзбург, буд. 2 кв. 459, Євпаторія, 58560",+380 63 787 32 62,xkhomyk@example.com
Кабалюк,Марʼяна,Олександрівна,Жінка,1986-07-03,Футболіст,місто Ізяслав,"провулок Лютневий 1-й, буд. 90 кв. 388, Донецьк, 46264",+380 (21) 602-11-42,okseniiavlasiuk@example.org
